"record_id","PID","obj1","OBJ_AvgPickups","OBJ_AvgNotifs"
1089,1052,5.6,43,39
1093,2045,7.25,147,182
1107,1056,7.11666666666667,86,76
1109,2047,7.56666666666667,96,153
1110,2048,8.75,34,21
1116,1053,0,NA,NA
1117,1054,0,NA,NA
1121,1060,8.5,NA,NA
1122,2067,2.45,96,132
1126,1061,3.75,NA,NA
1129,1058,0,NA,NA
1135,1059,0,NA,NA
1139,3147,6,147,136
1141,2059,2.08333333333333,85,36
1146,1062,0,NA,NA
1147,1057,13.4333333333333,106,114
1165,2049,0,1,1
1171,2060,5.83333333333333,93,152
1172,2061,3.35,66,80
1180,1068,0,NA,NA
1184,3146,8.75,146,266
1194,2050,0,NA,NA
1199,1067,12.9333333333333,66,68
1201,2057,8.86666666666667,30,153
1203,2053,9.16666666666667,135,103
1205,2054,15.7,143,410
1207,1063,0,NA,NA
1208,1064,0,NA,NA
1210,1065,11.2666666666667,59,42
1211,2052,7.13333333333333,123,91
1224,2056,12.1333333333333,90,90
1247,2066,11.8333333333333,94,66
1253,1072,0,NA,NA
1256,2064,4.28333333333333,119,124
1261,2058,0,1,1
1264,1073,0,NA,NA
1278,3153,8.55,145,196
1280,2062,1.66666666666667,93,22
1282,3158,4.25,144,111
1292,3149,4.6,153,169
1325,3154,7.3,76,89
1327,3150,5.91666666666667,5,35
1328,3155,7.8,162,199
1345,2068,10.6833333333333,161,180
1346,2065,7.08333333333333,151,187
1354,3152,6.78333333333333,166,92
1355,3148,7.36666666666667,102,186
1356,1070,0,NA,NA
1362,3151,7.31666666666667,142,129
1366,2078,10.0833333333333,238,256
1369,2079,6.1,106,300
1376,2069,0,100,89
1377,1069,3.93333333333333,53,48
1383,2074,44.85,181,252
1386,1078,0,NA,NA
1388,2073,16.5333333333333,74,40
1390,2076,13.2,63,49
1393,1071,0,NA,NA
1394,2071,0,32,54
1395,2072,1.5,NA,NA
1398,2070,3.21666666666667,96,239
1403,2077,8.08333333333333,132,194
1407,3156,5.41666666666667,205,200
1409,3157,10.8333333333333,343,259
1418,NA,0,NA,NA
1428,2075,19.65,16,19
1434,1075,7.01666666666667,NA,NA
1440,1079,0,NA,NA
1442,1077,0,NA,NA
1443,1076,0,NA,NA
1444,2083,50.8333333333333,50,30
1448,2084,2.73333333333333,124,225
1453,2081,3,206,97
1456,1098,0,NA,NA
1457,1080,7.6,61,142
1462,1112,0,NA,NA
1463,1099,2.33333333333333,NA,NA
1467,1116,2.5,NA,NA
1468,1113,0,NA,NA
1473,1083,0,NA,NA
1474,1084,0,NA,NA
1477,1095,7.75,57,89
1478,2094,6.76666666666667,93,104
1479,NA,0,NA,NA
1484,1103,0,NA,NA
1485,1086,0,1,1
1488,2099,4.65,73,155
1489,1085,4.31666666666667,77,40
1491,1088,0,2,21
1493,1100,0,NA,NA
1494,2093,5.08333333333333,NA,NA
1495,2089,0,NA,NA
1496,1091,0,NA,NA
1497,1090,3.66666666666667,NA,NA
1498,1081,0,NA,NA
1511,1119,0,NA,NA
1512,1121,0,NA,NA
1513,1110,0,NA,NA
1518,1087,0,1,1
1525,1092,0,42,30
1528,2080,0,0,1
1531,2087,13.95,71,169
1537,2086,0,1,1
1538,1089,0,NA,NA
1539,2085,7.26666666666667,101,240
1544,NA,0,NA,NA
1545,2091,4.06666666666667,232,355
1546,2090,5.16666666666667,40,40
1549,2082,7.45,142,530
1553,1123,6.66666666666667,NA,NA
1554,1096,0,NA,NA
1556,1106,0,1,0
1558,2092,14.2666666666667,136,278
1560,1107,5.28333333333333,77,37
1565,1094,0,NA,NA
1567,1082,0,NA,NA
1569,1097,0,NA,NA
1571,2095,0,NA,NA
1572,1093,4.68333333333333,65,43
1574,1105,0,NA,NA
1575,2100,0,NA,NA
1577,1125,12.3333333333333,115,308
1584,2096,6.2,178,256
1596,2097,6.68333333333333,181,286
1598,1101,0,NA,NA
1599,3999,0,NA,NA
1609,1114,0,NA,NA
1610,1104,0,NA,NA
1611,1110,0,NA,NA
1613,2103,7.73333333333333,149,219
1614,1117,11.4833333333333,113,91
1616,1116,0,1,1
1617,1102,0,NA,NA
1620,1108,4.2,111,81
1622,2102,4.61666666666667,57,61
1624,2105,5.18333333333333,111,132
1626,2107,0,39,2
1630,2101,0,NA,NA
1631,1109,4.65,78,38
1632,1111,0,1,1
1634,1122,0,NA,NA
1647,2106,14.0333333333333,123,288
1661,1115,0,NA,NA
1666,2104,0,NA,NA
1671,1118,0,NA,NA
1682,3999,7.65,234,6
1703,1124,0,NA,NA
1708,2110,0,NA,NA
1709,2111,0,NA,NA
1710,NA,0,NA,NA
1754,2113,11.1833333333333,53,26
1764,2122,2.06666666666667,85,32
1765,2111,11.1833333333333,14,11
1780,2123,0,NA,NA
1781,1129,0,1,1
1782,2114,10.8,144,226
1789,1126,10.25,132,96
1806,1128,0,NA,NA
1810,2113,8.9,1000,297
1821,2118,45.1833333333333,390,135
1823,1999,0,NA,NA
1830,2112,0,70,125
1835,2130,0,NA,NA
1837,2115,9.41666666666667,156,458
1839,2116,24.5,1,100
1845,2124,5.38333333333333,NA,NA
1850,2088,7.5,NA,NA
1851,2129,10.65,NA,NA
1853,2120,0,NA,NA
1855,2117,7.75,56,153
1859,2098,0,1,1
1862,2127,9.6,123,278
1867,2119,10.7666666666667,94,88
1870,2121,8.18333333333333,143,111
1877,NA,0,NA,NA
1880,1132,0,NA,NA
1883,2126,7.31666666666667,1000,144
1884,2125,7.56666666666667,4,6
