record_id,Wave,Cohort,PID,birth_sex,participant_age,Alerting_Z,Orienting_Z,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,sas_agg.clean.Z,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,MTES_Total_Original.z,SSM,hdprime,ldprime,overall_dprime,average_dti_fa,des_agefirst,years_of_use,Barratt_sum_score,texi_sum_score,texi_z_score,Bar_z
1180,1,1,1068,2,7,NA,NA,NA,NA,NA,NA,-0.401258946,4,0.333333333,0,-1.121705949,-1.721966675,-1.176730834,-1.340134486,#VALUE!,1.318010897,1.15592798,1.228340436,NA,NA,#VALUE!,20,51,0.446664826,-1.144555986
1199,1,1,1067,1,11,0.316653579,-1.477384632,-0.306112573,-0.519675628,-0.69860248,1.615822956,0.226678528,21,2.333333333,4,1.041472162,-0.505050278,1.35608676,0.630836215,2.473337699,1.736436502,2.328001067,1.992302829,NA,8,3,22,28,-1.546130516,1.157711802
1207,1,1,1063,1,11,-0.44463516,0.106297174,-0.149547445,NA,NA,NA,NA,8,0.333333333,0,-0.612722864,-1.721966675,-1.176730834,-1.170473458,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,16,42,-0.333124656,1.157711802
1208,1,1,1064,2,8,0.929606962,-1.798963747,0.577623576,NA,NA,NA,NA,6,0,1,-0.867214407,-1.924786075,-0.543526436,-1.111842306,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,17,51,0.446664826,-0.45387565
1210,1,1,1065,1,12,-0.861491675,0.968444014,0.074883348,-0.587978423,-0.89615545,1.157029302,0.477853517,17,3.666666667,2,0.532489077,0.30622732,0.089677963,0.309464787,1.944347606,1.149150242,0.789471072,0.965558972,NA,5,7,17,56,0.879881205,0.006577908
1253,1,1,1072,2,8,NA,NA,NA,NA,NA,NA,NA,6,4,0.5,-0.867214407,0.509046719,-0.860128635,-0.406098774,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,16,55,0.793237929,-0.684102429
1264,1,1,1073,1,11,0.33739771,0.542371759,0.989532769,NA,NA,NA,0.729028507,18,4,2.5,0.659734849,0.509046719,0.406280162,0.525020577,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,55,0.793237929,0.697258245
1356,1,1,1070,2,8,0.739554763,1.869288756,-0.112163203,NA,NA,NA,-1.02919642,1,0,0.5,-1.503443263,-1.924786075,-0.860128635,-1.429452657,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,21,64,1.573027411,0.467031466
1377,1,1,1069,2,11,NA,NA,NA,-0.646523677,-0.850566303,-0.861662777,1.482553476,15,4,3.5,0.277997535,0.509046719,1.03948456,0.608842938,1.229733637,NA,NA,NA,NA,7,4,21,61,1.313097584,-0.914329207
1386,1,1,1078,2,9,-0.758893971,1.51719404,0.349244032,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,2.194218899,2.078189788,2.113252707,NA,NA,#VALUE!,20,55,0.793237929,-0.684102429
1393,1,1,1071,NA,10,1.354351016,0.776450111,0.054214103,NA,NA,NA,-1.657133894,7,5,1,-0.739968635,1.117504918,-0.543526436,-0.055330051,#VALUE!,2.075462281,1.417797138,1.636763637,NA,5,5,16,35,-0.939627586,0.697258245
1434,1,1,1075,1,10,NA,NA,NA,NA,NA,-0.012894516,-0.275671451,5,2.666666667,1.5,-0.994460178,-0.302230879,-0.226924236,-0.507871764,-0.796437731,NA,NA,NA,NA,NA,#VALUE!,NA,29,-1.459487241,NA
1440,1,1,1079,2,12,-0.452697757,0.636428142,0.3363114,NA,NA,NA,0.477853517,3,6,0,-1.248951721,1.725963116,-1.176730834,-0.233239813,#VALUE!,-1.824839131,-2.639153629,-2.142311521,NA,6,6,17,51,0.446664826,-0.914329207
1442,1,1,1077,2,10,-0.146627529,1.101307561,0.042424447,NA,NA,NA,-1.531546399,2,1,0,-1.376197492,-1.316327876,-1.176730834,-1.289752067,#VALUE!,2.996691178,2.078189788,2.410127185,NA,7,3,24,47,0.100091723,0.236804687
1443,1,1,1076,1,7,0.454871281,-1.53294557,0.369517888,NA,NA,NA,-1.782721389,12,3,0,-0.103739779,-0.099411479,-1.176730834,-0.459960697,#VALUE!,NA,NA,NA,NA,5,2,18,21,-2.152633447,1.157711802
1456,1,1,1098,2,10,-1.026677093,1.109598449,-0.565064669,NA,NA,NA,-0.652433936,6,4.666666667,0,-0.867214407,0.914685518,-1.176730834,-0.376419907,#VALUE!,NA,NA,NA,NA,10,0,22,47,0.100091723,-0.223648871
